bond_sym_id	gvkey	industry
JPM.LGF	2968	Banking
JPM.LGH	2968	Banking
JPM.LGI	2968	Banking
JPM.LHB	2968	Banking
JPM.LHK	2968	Banking
JPM.LHL	2968	Banking
JPM.LHM	2968	Banking
JPM.LHQ	2968	Banking
JPM.LHR	2968	Banking
JPM.LID	2968	Banking
JPM.LIK	2968	Banking
JPM.LIL	2968	Banking
JPM.LJI	2968	Banking
JPM.LR	2968	Banking
JPM.LS	2968	Banking
JPM.LT	2968	Banking
JPM.LU	2968	Banking
JPM.LUW	2968	Banking
JPM.LV	2968	Banking
JPM.LVC	2968	Banking
JPM.LVF	2968	Banking
JPM.LVL	2968	Banking
JPM.LVP	5600	Personal Services
JPM.LVX	2968	Banking
JPM.LW	2968	Banking
JPM.LX	2968	Banking
JPM.LY	2968	Banking
JPM.LZ	2968	Banking
JPM.MA	2968	Banking
JPM.MB	2968	Banking
JPM.MC	2968	Banking
JPM.MCE	2968	Banking
JPM.MCN	2968	Banking
JPM.MCO	2968	Banking
JPM.MCY	2968	Banking
